,date,lower_confidence_interval,upper_confidence_interval,predicted_value
7510,2021-10-23,1700.281464694097,1881.057341270616,1794.7762011747034
7511,2021-10-24,1705.8081045888237,1886.2622360069076,1795.002660286869
7512,2021-10-25,1718.9328156353033,1903.6213102811953,1811.653873895228
7513,2021-10-26,1723.0726777145674,1899.7362872806243,1811.9079283634717
7514,2021-10-27,1723.8745716109354,1902.4400429991758,1811.9534268439684
7515,2021-10-28,1722.5861400609808,1897.6760706585696,1812.0280151596173
7516,2021-10-29,1725.6953436018644,1907.962468123533,1812.3175941628144
7517,2021-10-30,1706.9586688524819,1889.377968819622,1795.932362922235
7518,2021-10-31,1710.5679076435,1882.4568703967525,1796.0280138977862
7519,2021-11-01,1724.53584858803,1901.259210791045,1812.5587093470879
7520,2021-11-02,1722.1133041721037,1901.8517614163616,1812.704944598718
7521,2021-11-03,1727.2828483667859,1903.0326630704258,1812.6574644427217
7522,2021-11-04,1719.3613202460253,1904.4215588844256,1812.6557278306166
7523,2021-11-05,1722.0332505723936,1904.5407989502942,1812.887064042688
7524,2021-11-06,1708.4044114676858,1888.8293381637563,1796.4626664698671
7525,2021-11-07,1707.76449141007,1889.5380228605422,1796.5387468937313
7526,2021-11-08,1723.9190133726593,1902.7848792624302,1813.069481098771
7527,2021-11-09,1721.2998230404182,1898.5143574951378,1813.2348528580944
7528,2021-11-10,1722.9399773056466,1899.7184554825346,1813.2245637080052
7529,2021-11-11,1727.061684013864,1901.4460748214399,1813.2765045831648
